Standard,Non-Standard
sino ba iyan,cnu b iyn
Para lang ,pra lng 
parang niloloko ninyo yata kami,prang nloloko nyo ata kmi
natawa ako lang pala,natawa aq lng pla
pero pag kami nalang magsama na sa akin,pro pg kmi nlang mgsama n saken
iyong lang sa mga tao,yng lng s mga tao
napasok na ako sa ganiyan,napasok n aq s ganyan
pakulo lang sa dalawa,pkulo lng s dalwa
Nakaka daming anak na kayo sa ka away,nkaka dming anak n kau s ka away
Ganda ganda ni ma'am,ganda2 n mam
Baka kasi iyong carpet ninyo o iyong paglaba niyo,Bka kc yung carpet nyo o ung pglaba nyo
tama ba ito,tma b 2
pala ito,pla 2
malupit idol gagaling ninyo,petmalu lodi ggaling nyo
hay naku,nako
ba iyan,b yarn
Idol ko iyan,lodi q yarn
Parang may malalim na ibig sabihin ito,Prang my malalim n ibig sabihin i2
Dapat ipakita na ,Dpat ipakita n 
Hindi iyon,di yun
ka lang sa panlabas anyo Pero, k lng s panlabas anyo Pro
Parang lang,Prang lng
laptrip talaga iyon lang pala iyon,lt talga yun lng pla yun
iyong nagbasa ako,yung ngbasa aq 
tama lang ,tma lng
nagkamali ako doon,ngkmali aq dun
okay lang mayroong ganito,ok lng merong gan2
sino Ba talaga,cno B tlga
bwesit na iyan,buset n yarn
siraulo nakakahiya ka,craulo nakkahiya k
iyon lang pala,un lng pla
parang ano na problema nila,prang ano n problma nla
Baka sa paglaba iyan,Bka s pglaba yan
Kailangan niyo iyan,Kelangan nyo yan
para hindi maasim,pra hndi masim
Wala naman na tubig,Wla nman n 2big
ako siguro ako may putok malakas," Aq cguro, Aq my putok malakas  "
kasi meron nang kakaiba,Kc meron ng kkaiba
kasi nga kaya niya na ako,Kc nga kya nya n aq
hindi ba pwede,Di b pwde
May problema ito,My problma i2
kaloka akala ko totoo,kloka kala q 22o
Idol ko talaga,lodi q tlaga
hindi pala dapat,ndi pla dpat
"Ayos, iyon lang pala","Aus, un lng pla"
Kala ko idol totoo away,Kala q lodi 22o away
Sa simula pa lang,S cmula p lng
natawa na ako,ntawa n aq
Natawa talaga ako,Ntawa tlga aq
Bakit hindi ganoon,Bkit hndi ganun
Kumuha nalang kayo kasambahay,Kmuha nlng kau ksambhay
napakagaling niyo matatanda na kayo,npakagaling nyo mtatnda n kau
akala ko ano na,kala q anu n
